name,artists,id,tempo,energy,loudness
Empire State Of Mind,"JAY-Z, Alicia Keys",3xkxcbnc7G3XYuZt6eUnI5,173.521,0.955,-1.533
We Own It (Fast & Furious),"2 Chainz, Wiz Khalifa",00QyLmjxaSEE8qIZQjBXBj,172.078,0.899,-4.573
The Show Goes On,Lupe Fiasco,4NTWZqvfQTlOMitlVn6tew,143.067,0.889,-3.839
