name,artists,id,tempo,energy,loudness
Northern Sky (feat. Kb),"Capital Kings, KB",1B8apLbD3Xmu0AyzDsc8R8,144.952,0.966,-2.804
Rock It,God's Warrior,6nXYtNbcwpPgYnxivDW2by,174.056,0.978,-1.234
You Saved Me,God's Warrior,59hPUf5935B2hMXayv2aNV,150.0,0.972,-2.236
Freedom,"God's Warrior, Eciverate",4ZpkYetDi8b6OpMm7vhbqt,155.051,0.965,-2.176
You Honor Me,God's Warrior,1eRJcXdS0gN3x7sqrA4DfS,175.175,0.993,-0.963
